,reward,steps,found
404,190771.9289638977,12,True
405,189164.37455961932,14,True
406,191400.24914079733,11,True
407,166384.43597736768,31,True
408,191399.06983018448,11,True
409,171439.02934925328,27,True
410,187409.5729345952,15,True
411,181961.1372326325,19,True
412,186480.4781364776,16,True
413,187960.2957345273,15,True
414,-212108.16955517765,82,False
415,170370.4001799552,28,True
416,190120.69429150136,13,True
417,170463.0819396837,28,True
418,-201290.2100377954,22,False
419,174689.53965111193,25,True
420,176316.74744464585,24,True
421,190950.5094450856,12,True
422,179577.9971714196,21,True
423,186349.73764291103,16,True
424,-220413.92863764556,75,False
425,167858.11356661335,30,True
426,187632.22866967312,16,True
427,146826.27953947385,45,True
428,184144.9949602203,18,True
429,188296.3008809939,15,True
430,181919.35895047552,20,True
431,189190.11813707903,15,True
432,170394.85827707633,28,True
433,173802.5740049683,26,True
434,190891.6780861448,11,True
435,186662.28450445968,16,True
436,191190.46542074945,11,True
437,187699.63517967085,15,True
438,190989.74824507933,11,True
439,186334.33852717176,17,True
440,189094.78328640867,14,True
441,178459.8829072796,22,True
442,189226.6193759945,15,True
443,182858.4451173097,19,True
444,187307.0130952768,16,True
445,184729.06101458627,18,True
446,191411.01750510136,11,True
447,140683.48117150215,50,True
448,189088.78715066012,14,True
449,189271.16282012625,14,True
450,184065.8690722485,18,True
451,190182.9518727412,13,True
452,189012.90888232164,14,True
453,189883.60782273844,13,True
454,187747.2727876443,15,True
455,191755.57508260343,10,True
456,191002.4956942338,11,True
457,192035.0,9,True
458,189370.42013966065,14,True
459,139846.55834061123,50,True
460,163463.95885165615,33,True
461,191241.7022167145,11,True
462,190261.73105745268,13,True
463,176027.19853697988,24,True
464,191250.17174749824,11,True
465,189728.78993956023,13,True
466,187641.18318326012,16,True
467,-198310.67378662352,13,False
468,185877.12207412889,17,True
469,191541.48394003557,10,True
470,190147.35270512564,13,True
471,179954.01674542227,21,True
472,188515.62636969605,15,True
473,188301.15153938983,15,True
474,190276.9743439856,13,True
475,187978.7577213559,15,True
476,190761.5399618467,12,True
477,188338.1384753356,15,True
478,192249.09114256792,9,True
479,189341.82970800635,14,True
480,-209144.82263902784,46,False
481,191541.48394003557,10,True
